,name,latitude,longitude,store_id
187,Kennett Supercenter,36.238808,-90.037563,8a083aaf-fbb2-4f4a-b2d8-44eee1a1e9b5
188,Salem Supercenter,38.625999,-88.98129,02663cdd-0e80-4454-8b69-58144b3e83ea
189,Lincoln Supercenter,40.154263,-89.398031,1fd69f80-6c43-4c23-be54-a991ccfea567
190,Macomb Supercenter,40.461079,-90.641514,81dc541f-d906-44a5-9315-93882522765d
191,Belleville Supercenter,38.522079,-89.922955,73136032-66d1-4d9a-b7bf-9e8eabe03f21
192,Princeton Supercenter,37.11071,-87.918332,efdec463-65ab-4a2f-aa52-c53c2df820ba
193,Jacksonville Supercenter,39.71992,-90.270971,1ff58631-40c5-4339-b009-195f6a1a15e2
194,Mckinney Supercenter,33.222075,-96.629963,1eccc5d2-1d42-423b-bfd4-9a928eb16a30
195,Brookfield Supercenter,39.767807,-93.072718,c718c7aa-c3d5-4799-a368-acc312fc5a3d
196,Philadelphia Supercenter,32.7675247,-89.1275641,b24783f9-49c2-4943-b891-4593f212d0a9
197,Cleveland Supercenter,36.297466,-96.463165,4dc7fb51-1b08-4372-899d-7f8142f22bb4
198,Ozark Store,35.503711,-93.84385,32acddcb-f8b8-40a9-b479-e7ab256a3e39
199,Holdenville Store,35.088093,-96.381422,d298aeba-38ea-4332-adc8-e0dce843ba2a
200,Hillsboro Supercenter,32.004274,-97.099919,11effacf-494a-420b-9c35-f70b1f16fc36
201,Litchfield Supercenter,39.185505,-89.668379,6801a139-1879-40f2-a388-0ddc0cae6bc3
202,Jasper Supercenter,30.908235,-94.015462,2c598f14-5cbe-4f61-bba6-d2debbae84e5
203,Norman Supercenter,35.221587,-97.481153,6e4c32ee-daec-4864-bc93-87cb27a1c6e6
204,Selmer Supercenter,35.1396272,-88.5742543,250b020c-ebef-4ba5-aee4-f571cf7ea14a
205,Lewisville Supercenter,33.047228,-97.013954,19ba6cb2-403b-4507-96c8-06eb91fe9424
206,Sedalia Supercenter,38.706715,-93.270907,f83171e3-8b2c-4478-90ac-669c1b14ffbd
207,Marion Supercenter,37.748171,-88.971464,03229ee1-76ef-424a-852b-a70ed6a0d261
208,Yukon Supercenter,35.490376,-97.763836,ae274225-10b8-49fd-a98c-81ff8eea0783
