,name,state,latitude,longitude
388,Murray Supercenter,KY,36.627014,-88.317878
389,Port Arthur Supercenter,TX,29.942076,-93.9937
390,Houston Store,MS,33.894702,-88.989563
391,Port Isabel Supercenter,TX,26.068984,-97.222507
392,Wichita Falls Supercenter,TX,33.850603,-98.501632
393,Athens Supercenter,TX,32.210394,-95.832943
394,Broussard Supercenter,LA,30.144151,-91.943449
395,Murfreesboro Supercenter,TN,35.775172,-86.399845
396,Fairbury Supercenter,NE,40.162702,-97.175372
397,Wichita Falls Supercenter,TX,33.951021,-98.529274
398,Sulphur Springs Supercenter,TX,33.105801,-95.595268
399,Pratt Supercenter,KS,37.644053,-98.713481
400,Alabaster Supercenter,AL,33.2355308,-86.801229
401,Robinson Supercenter,IL,39.0087859,-87.7238588
402,Decatur Supercenter,TX,33.228422,-97.597203
403,Brent Supercenter,AL,32.963956,-87.171887
404,Colony Supercenter,TX,33.067154,-96.89221
405,Greenville Supercenter,TX,33.093639,-96.106315
406,Zachary Supercenter,LA,30.6511982,-91.1421476
407,Edinburg Supercenter,TX,26.301269,-98.181031
408,Mayfield Supercenter,KY,36.720985,-88.629795
409,Clanton Supercenter,AL,32.816741,-86.609419
410,Paducah Supercenter,KY,37.0540102,-88.5662728
411,Talladega Supercenter,AL,33.438556,-86.080265
412,Carlyle Supercenter,IL,38.629436,-89.376727
413,Huntsville Supercenter,AL,34.61586,-86.570681
414,Sealy Supercenter,TX,29.757736,-96.152552
415,Huntsville Supercenter,AL,34.765195,-86.592346
416,Breckenridge Supercenter,TX,32.761895,-98.946751
417,Highland Supercenter,IL,38.7607786,-89.6842294
418,Rockport Supercenter,TX,28.048113,-97.045087
419,Kingsville Supercenter,TX,27.489274,-97.853623
420,Hondo Supercenter,TX,29.343977,-99.126629
421,Springfield Supercenter,MO,37.153676,-93.299048
422,Madisonville Store,TX,30.956855,-95.894079
423,Leitchfield Supercenter,KY,37.484701,-86.265657
424,Shreveport Supercenter,LA,32.4464337,-93.8677975
425,Del Rio Supercenter,TX,29.395726,-100.900994
426,Shreveport Supercenter,LA,32.388433,-93.819215
427,Port Arthur Supercenter,TX,29.936493,-93.941153
428,Columbia Supercenter,MO,38.913092,-92.324097
429,Malden Store,MO,36.570405,-89.972394
430,Mcallen Supercenter,TX,26.243829,-98.245074
431,Fairfield Supercenter,IL,38.376002,-88.38918
432,Aransas Pass Supercenter,TX,27.92242,-97.176221
433,Brownsville Supercenter,TX,25.975195,-97.520341
434,Covington Supercenter,GA,33.610856,-83.830231
435,Vidor Supercenter,TX,30.143291,-94.014491
436,Eagle Pass Supercenter,TX,28.701256,-100.480817
437,Beeville Supercenter,TX,28.422051,-97.753283
438,Alvin Supercenter,TX,29.421683,-95.230798
439,Corpus Christi Supercenter,TX,27.853628,-97.633395
440,Floresville Supercenter,TX,29.162266,-98.179983
441,Texarkana Supercenter,AR,33.462229,-94.039851
442,Bolivar Supercenter,TN,35.279842,-89.024623
443,Lake Charles Supercenter,LA,30.195609,-93.17622
444,Corpus Christi Supercenter,TX,27.737979,-97.43886
445,Denton Supercenter,TX,33.191193,-97.093584
446,Giddings Store,TX,30.177696,-96.915709
447,Broken Arrow Supercenter,OK,36.058129,-95.817643
448,Lancaster Supercenter,TX,32.59215,-96.819145
449,Round Rock Supercenter,TX,30.483114,-97.669778
450,Soddy Daisy Supercenter,TN,35.234236,-85.199273
451,Pearsall Store,TX,28.898853,-99.094236
452,Gatesville Supercenter,TX,31.425255,-97.712956
453,Altus Supercenter,OK,34.664235,-99.331291
454,Pittsfield Store,IL,39.604775,-90.822308
455,West Columbia Store,TX,29.150831,-95.658525
456,Mattoon Supercenter,IL,39.481309,-88.337398
457,Lawrence Supercenter,KS,38.923672,-95.256869
458,Prattville Supercenter,AL,32.463123,-86.416339
459,Donaldsonville Supercenter,LA,30.095133,-90.980352
460,Quincy Supercenter,FL,30.556986,-84.595535
461,Bonner Springs Supercenter,KS,39.085862,-94.877566
462,Hammond Supercenter,LA,30.501713,-90.494371
463,Vincennes Supercenter,IN,38.662953,-87.504643
464,Paris Supercenter,KY,38.196993,-84.278012
465,Paducah Supercenter,KY,37.072548,-88.688124
466,Newnan Supercenter,GA,33.393498,-84.743664
467,Corpus Christi Supercenter,TX,27.674384,-97.300335
468,Shelbyville Supercenter,KY,38.21018,-85.265283
469,Columbus Supercenter,MS,33.518642,-88.439114
470,Jena Supercenter,LA,31.6927546,-92.1404735
471,El Paso Supercenter,TX,31.896254,-106.438215
472,Enid Supercenter,OK,36.387842,-97.945621
473,Laurel Supercenter,MS,31.709574,-89.146654
474,Cut Off Supercenter,LA,29.4709045,-90.3243205
475,Columbus Store,TX,29.694586,-96.53837
476,Deridder Supercenter,LA,30.866174,-93.288017
477,Galveston Supercenter,TX,29.265049,-94.833163
478,Flora Supercenter,IL,38.682176,-88.49584
479,Kerrville Supercenter,TX,30.06285,-99.167215
480,Lawrenceburg Supercenter,KY,38.035243,-84.909083
481,Gainesville Supercenter,GA,34.2917,-83.8506
482,Sumter Supercenter,SC,33.9600883,-80.3896021
483,Big Spring Supercenter,TX,32.227804,-101.467786
484,El Paso Supercenter,TX,31.753235,-106.339982
485,Gun Barrel City Supercenter,TX,32.333083,-96.135327
486,Aiken Supercenter,SC,33.518173,-81.71954
487,Mustang Supercenter,OK,35.393703,-97.705208
488,Murphy Supercenter,NC,35.108762,-84.005497
489,Canton Supercenter,GA,34.255416,-84.461178
490,Crosby Supercenter,TX,29.894378,-95.065666
491,Harrodsburg Supercenter,KY,37.74252,-84.844408
492,Lake Charles Supercenter,LA,30.268847,-93.179586
493,Carthage Supercenter,TX,32.168984,-94.368699
494,Kenedy Supercenter,TX,28.834532,-97.86426
495,Winder Supercenter,GA,33.990029,-83.756707
496,Louisville Supercenter,KY,38.300079,-85.545768
497,La Marque Supercenter,TX,29.402077,-95.037535
498,Lake Mary Neighborhood Market,FL,28.784512,-81.304091
499,Angleton Supercenter,TX,29.184128,-95.435889
500,Braden River Supercenter,FL,27.449683,-82.527182
501,El Dorado Supercenter,AR,33.2420091,-92.6686538
502,Gonzales Supercenter,LA,30.235411,-90.908985
503,Lafayette Supercenter,LA,30.187238,-92.078505
504,New Iberia Supercenter,LA,29.986171,-91.815233
505,Lafayette Supercenter,LA,30.239559,-92.015743
506,Abilene Supercenter,TX,32.41097,-99.781732
507,Gainesville Supercenter,FL,29.708414,-82.35647
508,Abilene Supercenter,TX,32.48087,-99.698021
509,Alexandria Supercenter,LA,31.278583,-92.451864
510,Odessa Supercenter,TX,31.895721,-102.332146
511,Morgan City Supercenter,LA,29.683712,-91.267157
512,Covington Supercenter,LA,30.443284,-90.078758
513,Opelousas Supercenter,LA,30.520821,-92.065731
514,Oklahoma City Supercenter,OK,35.4485424,-97.4261536
515,Houma Supercenter,LA,29.607776,-90.751843
516,Lawrenceville Supercenter,GA,33.971139,-83.996583
517,Richmond Supercenter,TX,29.5571658,-95.7599175
518,Hobbs Supercenter,NM,32.743608,-103.160521
519,Plant City Supercenter,FL,27.985901,-82.118861
